Date,Price,Open,High,Low,Vol.,Change %
11/23/2021,90700,90300,94000,89500,50,0.0033
11/22/2021,90400,91400,91400,87100,204660,-0.012
11/21/2021,91500,91500,91500,91500,189130,0
11/19/2021,91500,92300,94200,91500,230820,-0.0193
11/18/2021,93300,91400,94800,91400,120,0
11/17/2021,93300,95100,95900,93000,60,-0.023
11/16/2021,95500,98500,98500,95500,259570,-0.0295
11/15/2021,98400,96800,98900,94400,655130,0.0176
11/14/2021,96700,96700,96700,96700,210,0
11/12/2021,96700,97100,99200,93900,420,-0.0041
11/11/2021,97100,89800,99700,88700,350,0.0577
11/10/2021,91800,99600,99600,91400,533240,-0.0811
11/09/2021,99900,101700,102700,98600,510,-0.0348
11/08/2021,103500,108200,108200,101200,0,-0.0478
11/07/2021,108700,108700,108700,108700,120,0
11/05/2021,108700,114900,114900,106000,270,-0.0381
11/04/2021,113000,114600,115600,112100,517290,0.0089
11/03/2021,112000,107500,114800,106600,0,0.0487
11/02/2021,106800,105800,108100,104500,260,0.0181
11/01/2021,104900,110100,110400,103500,100,-0.0429
10/31/2021,109600,109600,109600,109600,10,0
10/29/2021,109600,107000,111000,104700,264130,0.032
10/28/2021,106200,107900,108600,106100,40,-0.0203
10/27/2021,108400,108100,109000,106600,290,0.0037
10/26/2021,108000,110800,111600,107900,537340,-0.0128
10/25/2021,109400,109200,110300,106400,291250,0.0083
10/24/2021,108500,108500,108500,108500,365390,0
10/22/2021,108500,105200,110800,104200,0,0.0236
10/21/2021,106000,110800,111600,106000,491460,-0.0459
10/20/2021,111100,114800,114800,110600,370,-0.0203
10/19/2021,113400,114900,118500,113300,891470,0.0089
10/18/2021,112400,113900,115500,112400,120,-0.0097
10/17/2021,113500,113500,113500,113500,340,0
10/15/2021,113500,115100,115800,112400,244530,-0.0079
10/14/2021,114400,111100,116000,109400,258960,0.0476
10/13/2021,109200,107600,110700,105000,60,0.0065
10/12/2021,108500,107800,109000,106000,290,0.0363
10/11/2021,104700,104700,104700,104700,30,0
10/08/2021,104700,102700,109200,100500,251320,0.047
10/07/2021,100000,99500,100300,97400,378730,0.0173
10/06/2021,98300,101900,102700,97500,20,-0.0051
10/05/2021,98800,98400,100300,96700,364910,0.001
10/04/2021,98700,98700,98700,98700,1730,0
10/01/2021,98700,99400,101100,97500,290,-0.008
09/30/2021,99500,101100,103200,99500,590,-0.008
09/29/2021,100300,96800,100600,96600,811040,0.005
09/28/2021,99800,102000,102300,99600,611100,-0.0167
09/27/2021,101500,102300,103500,101300,869750,-0.0126
09/26/2021,102800,102800,102800,102800,406640,0
09/24/2021,102800,103600,106300,102000,795110,0.0049
09/23/2021,102300,103100,105400,102300,460470,-0.0192
09/22/2021,104300,104300,104300,104300,297610,0
09/17/2021,104300,107200,107700,103400,179580,-0.0334
09/16/2021,107900,108800,114400,106200,258290,0.0084
09/15/2021,107000,102100,108200,101100,177560,0.0439
09/14/2021,102500,101100,103300,101100,212150,0.0059
09/13/2021,101900,105100,105700,101200,237260,-0.0286
09/12/2021,104900,104900,104900,104900,189750,0
09/10/2021,104900,103200,106000,100700,664560,0.0294
09/09/2021,101900,107000,107700,100100,299470,-0.0174
09/08/2021,103700,110900,111000,102900,156450,-0.0581
09/07/2021,110100,112200,116000,110100,212080,0.0166
09/06/2021,108300,109000,113100,108300,240470,-0.0199
09/05/2021,110500,110500,110500,110500,271780,0
09/03/2021,110500,107600,112500,106300,234220,0.011
09/02/2021,109300,112400,115500,104300,201410,-0.0293
09/01/2021,112600,119000,123900,112200,176970,-0.0522
08/31/2021,118800,125900,128700,117800,570470,-0.0141
08/30/2021,120500,112000,125900,108400,188390,0.1127
08/29/2021,108300,108300,108300,108300,125160,0
08/27/2021,108300,98300,109100,97200,140470,0.0852
08/26/2021,99800,99500,100400,95100,161780,0.0091
08/25/2021,98900,96300,99700,94000,222390,0.0589
08/24/2021,93400,99200,100000,90100,327810,-0.0613
08/23/2021,99500,102500,104900,95200,520610,-0.0349
08/22/2021,103100,103100,103100,103100,559260,0
08/20/2021,103100,115000,116000,92900,4200000,-0.1549
08/19/2021,122000,142000,152100,121800,1790000,-0.1372
08/18/2021,141400,133500,151000,133100,1880000,-0.1034
08/17/2021,157700,176200,178700,153700,2040000,-0.1335
08/16/2021,182000,182000,182000,182000,1910000,0
08/13/2021,182000,175300,210600,170000,1880000,0.0185
08/12/2021,178700,144400,181400,144400,3250000,0.2701
08/11/2021,140700,124200,158900,118600,1790000,0.1319
08/10/2021,124300,125600,132900,119800,1590000,-0.0453
08/09/2021,130200,101900,134100,100000,3880000,0.2616
08/08/2021,103200,103200,103200,103200,5660000,0
