Date,Price,Open,High,Low,Vol.,Change %
02/28/2022,83981,78447,84466,77864,355280,0.033
02/27/2022,81300,81300,81300,81300,383560,0.03
02/25/2022,78932,71942,81359,71456,345670,0.1355
02/24/2022,69515,71262,72039,69417,973600,-0.0415
02/23/2022,72524,72816,73592,71651,700210,0.0081
02/22/2022,71942,70291,73398,70194,601540,-0.008
02/21/2022,72524,72621,73107,70485,644320,-0.047
02/20/2022,76100,76100,76100,76100,640870,0.03
02/18/2022,73884,71651,74078,71553,964120,0.008
02/17/2022,73301,73495,77087,70874,650490,0.0013
02/16/2022,73204,73495,75631,72039,651930,0.0371
02/15/2022,70583,70097,72330,68058,361670,0.0211
02/14/2022,69126,69903,72136,68155,220630,-0.0273
02/11/2022,71068,67864,74272,66505,192580,0.0383
02/10/2022,68447,71553,71748,67961,212280,-0.0329
02/09/2022,70777,67379,73107,66990,194800,0.0736
02/08/2022,65922,65049,69515,64369,229180,-0.0044
02/07/2022,66214,66214,67573,61650,333820,-0.0804
02/06/2022,72000,72000,72000,72000,541520,0.03
02/04/2022,69903,68447,70388,66796,429470,0.0184
02/03/2022,68641,66117,71068,64078,439060,0.0528
02/02/2022,65200,65200,65200,65200,327700,0.03
01/28/2022,63301,63398,65243,56505,598440,-0.021
01/27/2022,64660,64660,70583,62913,358560,0.069
01/26/2022,60485,83592,86117,59417,804130,-0.2764
01/25/2022,83592,83398,86699,82913,622660,-0.0058
01/24/2022,84078,88835,93592,83010,570610,-0.1332
01/23/2022,97000,97000,97000,97000,856840,0.03
01/21/2022,94175,97767,98447,94175,465550,-0.0537
01/20/2022,99515,95922,99515,95922,694280,0.0281
01/19/2022,96796,95922,97282,95146,484780,-0.0099
01/18/2022,97767,99126,100874,97087,444100,-0.0089
01/17/2022,98641,98544,100874,98252,661940,-0.0272
01/16/2022,101400,101400,101400,101400,369770,0.03
01/14/2022,98447,97379,99126,96699,338190,-0.0155
01/13/2022,100000,101262,101262,97961,323180,0.001
01/12/2022,99903,95146,100000,94272,262110,0.073
01/11/2022,93107,95437,97961,92718,369680,-0.0244
01/10/2022,95437,97767,98544,94369,367100,-0.0716
01/09/2022,102800,102800,102800,102800,546330,0.03
01/07/2022,99806,97961,100777,97476,806040,0.0239
01/06/2022,97476,98447,102039,97476,372980,-0.0392
01/05/2022,101456,103495,103495,100485,305320,-0.0252
01/04/2022,104078,110291,110971,102621,432720,-0.0386
01/03/2022,108252,113981,114563,108252,680060,-0.0511
12/30/2021,114078,116117,116408,112718,567810,-0.0208
12/29/2021,116505,118641,121845,113689,507650,-0.0129
12/28/2021,118028,109176,118028,108985,424800,0.0993
12/27/2021,107367,108700,109556,105844,487830,-0.0672
12/26/2021,115100,115100,115100,115100,404710,0.0506
12/24/2021,109556,107748,112317,106606,485050,0.0277
12/23/2021,106606,105654,107748,104988,438580,0.0247
12/22/2021,104036,105368,106891,102894,790740,0.0018
12/21/2021,103845,103274,104417,97087,797180,0.0055
12/20/2021,103274,100800,105368,100038,797710,-0.0348
12/19/2021,107000,107000,107000,107000,914540,0.0506
12/17/2021,101847,102703,104226,101180,566460,-0.021
12/16/2021,104036,106415,107367,104036,756550,-0.0036
12/15/2021,104417,104797,106701,103560,360600,-0.0072
12/14/2021,105178,105749,106511,103084,278240,-0.0187
