Date,Price,Open,High,Low,Vol.,Change %
08/15/2022,118500,118500,118500,118500,590420,0
08/12/2022,118500,120700,121000,116500,944180,-0.0239
08/11/2022,121400,125000,125000,119200,756220,-0.0082
08/10/2022,122400,122000,124700,121500,809350,-0.0073
08/09/2022,123300,122700,123800,121500,948010,0.014
08/08/2022,121600,121800,124300,121000,462900,-0.0194
08/07/2022,124000,124000,124000,124000,748290,0
08/05/2022,124000,129500,131500,121400,770440,-0.0313
08/04/2022,128000,129400,133200,127400,667680,0.0039
08/03/2022,127500,124800,128500,124800,788050,0.0159
08/02/2022,125500,128000,128000,124200,964530,-0.0172
08/01/2022,127700,119500,127800,119000,968180,0.0695
07/31/2022,119400,119400,119400,119400,991800,0
07/29/2022,119400,120000,120700,118500,796150,0.0042
07/28/2022,118900,119200,119800,116600,744810,0.0145
07/27/2022,117200,115900,117500,115100,653320,-0.0009
07/26/2022,117300,117500,118400,113200,633010,-0.0068
07/25/2022,118100,117700,120500,116800,631160,0.0043
07/24/2022,117600,117600,117600,117600,824500,0
07/22/2022,117600,117100,119900,116100,690550,0.0226
07/21/2022,115000,111300,115300,110300,725390,0.0464
07/20/2022,109900,113800,114200,109700,808510,-0.0063
07/19/2022,110600,110000,111800,108700,946660,0.0073
07/18/2022,109800,110000,110200,109000,540190,-0.0152
07/15/2022,111500,115700,117700,110100,517780,-0.047
07/14/2022,117000,127200,127300,114200,325160,-0.025
07/13/2022,120000,109500,120000,109100,319880,0.0821
07/12/2022,110900,113100,113900,110600,315920,-0.0323
07/11/2022,114600,119600,120200,114200,288020,-0.0362
07/10/2022,118900,118900,118900,118900,272110,0
07/08/2022,118900,120000,121400,118400,220260,0.0215
07/07/2022,116400,116400,119200,115700,297140,0.0122
07/06/2022,115000,120800,122400,115000,429430,-0.0449
07/05/2022,120400,111800,121500,110500,463030,0.0769
07/04/2022,111800,110400,112700,107200,344990,0.0295
07/03/2022,108600,108600,108600,108600,521760,0
07/01/2022,108600,112900,114600,108000,268760,-0.0432
06/30/2022,113500,120600,122600,112000,335580,-0.0651
06/29/2022,121400,125400,125600,120800,609820,-0.0508
06/28/2022,127900,133900,136600,126100,694710,-0.0589
06/27/2022,135900,135000,156600,131700,250190,0.0898
06/26/2022,124700,124700,124700,124700,332590,0.0028
06/24/2022,124350,120250,124750,117800,514010,0.0556
06/23/2022,117800,128525,130450,117750,995980,-0.0973
06/22/2022,130500,132600,134875,130375,519740,-0.0019
06/21/2022,130750,130325,131325,125000,572630,0.0079
06/20/2022,129725,131775,134300,127700,398330,-0.7504
06/19/2022,519700,519700,519700,519700,448370,3
06/17/2022,129925,128750,131950,128725,483200,-0.0044
06/16/2022,130500,130800,133025,129000,786430,0.0191
06/15/2022,128050,135000,139225,127550,825450,-0.0442
06/14/2022,133975,125900,134650,125850,738640,0.0477
06/13/2022,127875,125475,129875,125250,777010,-0.7502
06/12/2022,511900,511900,511900,511900,792930,3
06/10/2022,127975,124500,128000,122675,965040,0.0181
06/09/2022,125700,121500,125725,120725,614910,0.0356
06/08/2022,121375,121000,122500,120100,617120,0.0091
06/07/2022,120275,123275,123975,119675,631460,-0.7574
06/06/2022,495800,495800,495800,495800,837970,3
06/03/2022,123950,127325,127350,123525,473040,-0.0147
06/02/2022,125800,125175,126275,124025,578670,-0.7509
06/01/2022,505000,505000,505000,505000,430220,3
05/31/2022,126250,123825,126250,122575,347320,0.0323
05/30/2022,122300,119575,122425,117275,362580,0.0473
05/27/2022,116775,118700,118900,116750,321000,0.0028
05/26/2022,116450,119400,120050,115775,279080,-0.0194
05/25/2022,118750,120250,121200,116500,484250,-0.0073
05/24/2022,119625,123750,124375,119625,458540,-0.0361
05/23/2022,124100,124950,126125,122125,345790,-0.7485
05/22/2022,493400,493400,493400,493400,611180,3
05/20/2022,123350,119175,123675,119175,558650,0.0392
05/19/2022,118700,115425,122875,115300,323430,-0.0023
05/18/2022,118975,120525,122850,118975,390520,0.0136
05/17/2022,117375,112775,117500,112525,421820,0.0445
05/16/2022,112375,115250,115700,112375,368790,-0.75
05/15/2022,449500,449500,449500,449500,450710,3
05/13/2022,112375,111750,113550,107000,465150,0.0076
05/12/2022,111525,117000,117025,111525,628720,-0.0636
05/11/2022,119100,119150,119850,117150,302440,-0.001
05/10/2022,119225,117000,119900,115350,656240,-0.0085
05/09/2022,120250,119700,122200,118975,602990,-0.7552
05/08/2022,491300,491300,491300,491300,494690,3
05/06/2022,122825,127556,131252,122308,576190,-0.7638
